#comment
#----GAMEOBJECT----#
# id	file_path	
20 resource/Characters/Simon.png
21 resource/Characters/Whip.png
30 resource/Enemies/Enemies.png
40 resource/Items/Axe.png
41 resource/Items/BigHeart.png
42 resource/Items/Bone.png
43 resource/Items/Boomerang.png
44 resource/Items/Crown.png
45 resource/Items/Dagger.png
46 resource/Items/FireBall.png
47 resource/Items/HolyWaterBottle.png
48 resource/Items/InvisibilityPotion.png
49 resource/Items/MagicCrystal.png
50 resource/Items/MoneyBag.png
51 resource/Items/MorningStar.png
52 resource/Items/PorkChop.png
53 resource/Items/Rosary.png
54 resource/Items/SmallHeart.png
55 resource/Items/StopWatch.png
56 resource/Items/TripleShot.png
60 resource/Objects/Torch.png
61 resource/Objects/Candle.png
62 resource/Items/HolyWater.png
63 resource/Characters/SimonInvincble.png
64 resource/Objects/BreakableBrick.png
65 resource/Objects/Brick.png
66 resource/Objects/BrickPiece.png
67 resource/Characters/SimonInvincible.png
68 resource/Objects/GatePortal.png
69 resource/Objects/Gate.png
70 resource/Scene/StatusBar.png
71 resource/Items/DoubleShot.png
72 resource/Effect/400.png
73 resource/Effect/700.png
74 resource/Effect/1000.png
200 resource/Enemies/PhantomBat.png
998 resource/Scene/WhiteFlash.png
999 resource/Scene/bbox.png
1000 resource/Scene/MenuScene.png
1001 resource/Map/IntroOutro.png
#----MAP----#
# id file_path
1 resource/Map/Stage1_tiles.png
2 resource/Map/Stage2_tiles.png
3 resource/Map/Stage3_tiles.png
4 resource/Map/Stage4_tiles.png
5 resource/Map/Stage5_tiles.png
